# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
23/06/2017 00:00:00,Base Station,2194005,56.344267,4.272000,Unknown value,,,,,Unknown,,,Undefined,,,,Surveyed,,,,AIS,,,,
23/06/2017 00:00:00,Class A,219002624,55.507902,7.874188,Unknown value,,0.0,0.0,,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
23/06/2017 00:00:00,Base Station,2190064,56.716565,11.519050,Unknown value,,,,,Unknown,,,Undefined,,,,GPS,,,,AIS,,,,
23/06/2017 00:00:00,Class A,220012000,56.721995,11.899190,Unknown value,0.0,2.4,65.3,60,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
23/06/2017 00:00:00,Class A,311000223,54.973160,13.869067,Under way using engine,0.0,9.7,75.6,82,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
23/06/2017 00:00:00,Class A,277408000,54.712462,12.812590,Under way using engine,0.0,21.2,76.1,77,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
23/06/2017 00:00:00,Class A,244890472,55.474003,8.346453,Under way using engine,0.0,10.7,231.0,230,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
23/06/2017 00:00:00,Class A,265781000,57.573963,11.777525,Unknown value,0.0,0.0,326.1,16,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
23/06/2017 00:00:00,Class A,219016764,57.593805,9.957338,Unknown value,0.0,0.0,303.8,226,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
23/06/2017 00:00:00,Class A,265785410,56.005577,12.690297,Under way using engine,0.0,2.4,332.0,330,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
23/06/2017 00:00:00,Base Station,2655115,56.682807,16.564705,Unknown value,,,,,Unknown,,,Undefined,,,,Surveyed,,,,AIS,,,,
23/06/2017 00:00:00,Class A,219007034,57.121917,8.600403,Engaged in fishing,0.0,0.0,349.7,329,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
23/06/2017 00:00:00,Class A,245859000,56.017095,7.187833,Under way using engine,0.0,8.7,350.3,349,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
23/06/2017 00:00:00,Class A,265572330,57.108963,12.242502,Under way using engine,0.0,0.0,336.5,324,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
23/06/2017 00:00:00,Class A,219001819,55.179235,12.376888,Under way using engine,0.0,0.1,219.0,134,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
23/06/2017 00:00:00,Class A,219904000,56.413850,10.922327,Engaged in fishing,0.0,0.0,339.2,203,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
23/06/2017 00:00:00,Class A,220329000,57.690417,10.895583,Engaged in fishing,0.0,2.8,188.3,200,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
23/06/2017 00:00:00,Class A,231015000,55.268900,9.887517,Moored,,0.0,334.0,,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
23/06/2017 00:00:00,Class A,219000775,56.701557,8.220963,Under way using engine,0.0,0.0,352.5,228,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
23/06/2017 00:00:00,Class B,219006824,57.492900,10.505995,Unknown value,,0.0,,,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
23/06/2017 00:00:00,Class A,219000605,55.460700,8.440500,Unknown value,0.0,0.0,315.0,264,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
23/06/2017 00:00:00,Class A,219000818,55.270318,9.889292,Unknown value,,0.0,339.5,,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
23/06/2017 00:00:00,Class A,245491000,57.586553,11.259298,Under way using engine,0.0,12.3,297.4,298,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
23/06/2017 00:00:00,Class B,211140580,91.000000,181.000000,Unknown value,,,,,Unknown,DF2120,,Sailing,,4,11,Undefined,,,,AIS,7,4,3,1
23/06/2017 00:00:00,Class A,220600000,56.349133,4.279885,Under way using engine,,0.3,135.5,177,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
